Time: 2/19/2024, 10:31:53 PM, maker Vol: 0 , maker rebates:0 | taker Vol: 0 | net profit: 0
Time: 2/19/2024, 10:33:53 PM, maker Vol: 2200 , maker rebates:0.176 | taker Vol: 0 | net profit: 0.176
Time: 2/19/2024, 10:35:53 PM, maker Vol: 12800 , maker rebates:1.024 | taker Vol: 0 | net profit: 1.024
Time: 2/19/2024, 10:37:53 PM, maker Vol: 31532 , maker rebates:2.52256 | taker Vol: 0 | net profit: 2.52256
Time: 2/19/2024, 10:39:53 PM, maker Vol: 31604 , maker rebates:2.52832 | taker Vol: 0 | net profit: 2.52832
Time: 2/19/2024, 10:41:53 PM, maker Vol: 39898 , maker rebates:3.19184 | taker Vol: 0 | net profit: 3.19184
Time: 2/19/2024, 10:43:53 PM, maker Vol: 51546 , maker rebates:4.12368 | taker Vol: 0 | net profit: 4.12368
Time: 2/19/2024, 10:45:53 PM, maker Vol: 59946 , maker rebates:4.79568 | taker Vol: 0 | net profit: 4.79568
Time: 2/19/2024, 10:47:53 PM, maker Vol: 62646 , maker rebates:5.01168 | taker Vol: 0 | net profit: 5.01168
Time: 2/19/2024, 10:49:53 PM, maker Vol: 66904 , maker rebates:5.35232 | taker Vol: 100 | net profit: 5.27732
Time: 2/19/2024, 10:51:53 PM, maker Vol: 67742 , maker rebates:5.41936 | taker Vol: 100 | net profit: 5.34436
Time: 2/19/2024, 10:53:53 PM, maker Vol: 67742 , maker rebates:5.41936 | taker Vol: 100 | net profit: 5.34436
Time: 2/19/2024, 10:55:53 PM, maker Vol: 74842 , maker rebates:5.98736 | taker Vol: 800 | net profit: 5.38736
Time: 2/19/2024, 10:57:53 PM, maker Vol: 75542 , maker rebates:6.04336 | taker Vol: 800 | net profit: 5.44336
Time: 2/19/2024, 10:59:53 PM, maker Vol: 75542 , maker rebates:6.04336 | taker Vol: 800 | net profit: 5.44336
Time: 2/19/2024, 11:01:53 PM, maker Vol: 75542 , maker rebates:6.04336 | taker Vol: 800 | net profit: 5.44336
Time: 2/19/2024, 11:03:53 PM, maker Vol: 75542 , maker rebates:6.04336 | taker Vol: 800 | net profit: 5.44336
Time: 2/19/2024, 11:05:53 PM, maker Vol: 75542 , maker rebates:6.04336 | taker Vol: 800 | net profit: 5.44336
Time: 2/19/2024, 11:07:53 PM, maker Vol: 84342 , maker rebates:6.74736 | taker Vol: 800 | net profit: 6.14736
Time: 2/19/2024, 11:09:53 PM, maker Vol: 90685 , maker rebates:7.2548 | taker Vol: 800 | net profit: 6.6548
Time: 2/19/2024, 11:11:53 PM, maker Vol: 95885 , maker rebates:7.6708 | taker Vol: 800 | net profit: 7.0708
Time: 2/19/2024, 11:13:53 PM, maker Vol: 98685 , maker rebates:7.8948 | taker Vol: 800 | net profit: 7.2948
Time: 2/19/2024, 11:15:53 PM, maker Vol: 106085 , maker rebates:8.4868 | taker Vol: 800 | net profit: 7.8868
